Category,Item,Serving Size,Calories,Protein,Total Fat,Carbohydrates
Beef & Pork,Bacon Clubhouse Burger,270,720,39,40,51
Beef & Pork,Bacon McDouble,161,440,27,22,35
Beef & Pork,Big Mac,211,530,24,27,47
Beef & Pork,Cheeseburger,113,290,15,11,33
Beef & Pork,Daily Double,190,430,22,22,34
Beef & Pork,Double Cheeseburger,161,430,24,21,35
Beef & Pork,Double Quarter Pounder with Cheese,283,750,48,43,42
Beef & Pork,Hamburger,98,240,12,8,32
Beef & Pork,Jalapeño Double,159,430,22,23,35
Beef & Pork,McDouble,147,380,22,17,34
Beef & Pork,McRib,208,500,22,26,44
Beef & Pork,Quarter Pounder Deluxe,244,540,29,27,45
Beef & Pork,Quarter Pounder with Bacon Cheese,227,600,37,29,48
Beef & Pork,Quarter Pounder with Cheese,202,520,30,26,41
Breakfast,Bacon Egg Cheese Bagel,197,620,30,31,57
Breakfast,Bacon Egg Cheese Bagel with Egg Whites,201,570,30,25,55
Breakfast,Bacon Egg Cheese Biscuit,150,460,19,26,38
Breakfast,Bacon Egg Cheese Biscuit with Egg Whites,153,410,20,20,36
Breakfast,Bacon Egg Cheese McGriddles,174,460,19,21,48
Breakfast,Bacon Egg Cheese McGriddles with Egg Whites,178,400,20,15,47
Breakfast,Big Breakfast,269,740,28,48,51
Breakfast,Cinnamon Melts,114,460,6,19,66
Breakfast,Egg McMuffin,136,300,17,13,31
Breakfast,Egg White Delight,135,250,18,8,30
Breakfast,Fruit & Maple Oatmeal,251,290,5,4,58
Breakfast,Hash Brown,56,150,1,9,15
Breakfast,Hotcakes,151,350,8,9,60
Breakfast,Hotcakes and Sausage,192,520,15,24,61
Breakfast,Sausage Biscuit,117,430,11,27,34
Breakfast,Sausage Burrito,111,300,12,16,26
Breakfast,Sausage McGriddles,141,420,11,22,44
Breakfast,Sausage McMuffin,111,370,14,23,29
Breakfast,Sausage Egg Cheese McGriddles,201,550,20,31,48
Breakfast,Southern Style Chicken Biscuit,143,410,17,20,41
Breakfast,Steak Egg Biscuit,201,540,25,32,38
Breakfast,Steak Egg McMuffin,185,430,26,23,31
Breakfast,Steak Egg Cheese Bagel,241,670,33,35,56
Chicken & Fish,Bacon Buffalo Ranch McChicken,161,430,20,21,41
Chicken & Fish,Bacon Cheddar McChicken,171,480,22,24,43
Chicken & Fish,Bacon Clubhouse Crispy Chicken Sandwich,284,750,36,38,65
Chicken & Fish,Bacon Clubhouse Grilled Chicken Sandwich,270,590,40,25,51
Chicken & Fish,Buffalo Ranch McChicken,148,360,14,16,40
Chicken & Fish,Chicken McNuggets,65,190,9,12,12
Chicken & Fish,Filet-O-Fish,142,390,15,19,39
Chicken & Fish,McChicken,143,360,14,16,40
Chicken & Fish,Premium Crispy Chicken Classic Sandwich,213,510,24,22,55
Chicken & Fish,Premium Grilled Chicken Classic Sandwich,200,350,28,9,42
Chicken & Fish,Premium McWrap Chicken Bacon,316,630,32,32,56
Chicken & Fish,Southern Style Crispy Chicken Sandwich,160,430,21,19,43
Desserts,Baked Apple Pie,77,250,2,13,32
Desserts,Chocolate Chip Cookie,33,160,2,8,21
Desserts,Hot Caramel Sundae,182,340,7,8,60
Desserts,Hot Fudge Sundae,179,330,8,9,53
Desserts,Kids Ice Cream Cone,29,45,1,1.5,7
Desserts,Oatmeal Raisin Cookie,33,150,2,6,22
Desserts,Strawberry Sundae,178,280,6,6,49
Salads,Premium Bacon Ranch Salad,223,140,9,7,10
Salads,Premium Southwest Salad,230,140,6,4.5,20
Snacks & Sides,Apple Slices,34,15,0,0,4
Snacks & Sides,Chipotle BBQ Snack Wrap,130,340,14,15,37
Snacks & Sides,Fruit 'n Yogurt Parfait,149,150,4,2,30
Snacks & Sides,Honey Mustard Snack Wrap,123,330,14,15,34
Snacks & Sides,Medium French Fries,111,340,4,16,44
Snacks & Sides,Ranch Snack Wrap,128,360,15,20,32
Snacks & Sides,Side Salad,87,20,1,0,4
